AwardID,Status,Year,StateCode,EstimatedBudget,Directorate,DirectorateAbbr,Division,DivisionAbbr
2201796,Terminated,2022,PA,1051218,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2315095,Terminated,2023,TX,3641116,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2236163,Terminated,2023,NM,609429,STEM Education,EDU,Undergraduate Education,DUE
2243822,Reinstated,2023,CA,3000000,STEM Education,EDU,Graduate Education,DGE
2216648,Terminated,2022,OK,2719700,Biological Sciences,BIO,Biological Infrastructure,DBI
2411946,Terminated,2024,AL,2746938,STEM Education,EDU,Equity for Excellence in STEM,EES
2317588,Terminated,2024,NV,96228,"Social, Behavioral and Economic Sciences",SBE,Social and Economic Sciences,SES
2329420,Terminated,2023,WA,44360,Computer and Information Science and Engineering,CSE,Information & Intelligent Systems,IIS
2131508,Terminated,2022,MD,780000,Computer and Information Science and Engineering,CSE,Computer and Network Systems,CNS
2201809,Terminated,2022,MN,387605,STEM Education,EDU,Equity for Excellence in STEM,EES
2233683,Reinstated,2023,CA,399048,Engineering,ENG,Engineering Education and Centers,EEC
2121851,Terminated,2021,ND,737487,"Social, Behavioral and Economic Sciences",SBE,Behavioral and Cognitive Sciences,BCS
2309308,Terminated,2024,CA,57939,Mathematical and Physical Sciences,MPS,Physics,PHY
2317780,Terminated,2023,SC,399997,Engineering,ENG,Engineering Education and Centers,EEC
2201486,Terminated,2022,NE,1500000,STEM Education,EDU,Equity for Excellence in STEM,EES
2224593,Terminated,2023,IL,1034751,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2222234,Terminated,2022,MI,2230181,STEM Education,EDU,Graduate Education,DGE
2154123,Terminated,2022,UT,441200,Computer and Information Science and Engineering,CSE,Computer and Network Systems,CNS
2225567,Terminated,2022,KY,349591,Engineering,ENG,Engineering Education and Centers,EEC
2228216,Reinstated,2023,CA,7500000,Geosciences,GEO,Integrative and Collaborative Education and Research,RISE
2224675,Terminated,2023,TX,1750171,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2140647,Terminated,2022,TX,119324,STEM Education,EDU,Undergraduate Education,DUE
2305330,Reinstated,2023,CA,1250000,STEM Education,EDU,Equity for Excellence in STEM,EES
2236374,Terminated,2023,AZ,590387,STEM Education,EDU,Undergraduate Education,DUE
2235130,Terminated,2023,NY,704044,"Social, Behavioral and Economic Sciences",SBE,Behavioral and Cognitive Sciences,BCS
2200838,Terminated,2022,ID,2795365,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2216826,Terminated,2022,MN,75000,Biological Sciences,BIO,Biological Infrastructure,DBI
2146983,Terminated,2022,PA,367047,"Social, Behavioral and Economic Sciences",SBE,Behavioral and Cognitive Sciences,BCS
2240343,Terminated,2023,MI,15598,"Social, Behavioral and Economic Sciences",SBE,Social and Economic Sciences,SES
2204540,Terminated,2022,OH,300000,STEM Education,EDU,Equity for Excellence in STEM,EES
2314917,Terminated,2023,SC,375552,STEM Education,EDU,Graduate Education,DGE
2152441,Terminated,2022,OH,349936,Engineering,ENG,Engineering Education and Centers,EEC
2301115,Terminated,2023,TX,345353,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2313996,Terminated,2024,NC,1999449,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2233694,Terminated,2023,PA,390382,Biological Sciences,BIO,Biological Infrastructure,DBI
2223907,Terminated,2023,VA,287877,STEM Education,EDU,Equity for Excellence in STEM,EES
2224674,Terminated,2023,VA,753640,STEM Education,EDU,Research on Learning in Formal and Informal Settings,DRL
2214203,Terminated,2022,CA,549926,"Social, Behavioral and Economic Sciences",SBE,Behavioral and Cognitive Sciences,BCS
2317570,Reinstated,2024,CA,219726,Mathematical and Physical Sciences,MPS,Mathematical Sciences,DMS
2150922,Terminated,2023,NY,2999914,STEM Education,EDU,Undergraduate Education,DUE
2222482,Terminated,2023,PA,300000,STEM Education,EDU,Graduate Education,DGE
2315868,Terminated,2023,NY,153472,"Social, Behavioral and Economic Sciences",SBE,SBE Office of Multidisciplinary Activities,SMA
